mode,layer,alpha,n,acc_base,acc_intv,delta,wrong_to_right,right_to_wrong,net_gain,total_flips
add,25,0.5,50,0.5,0.52,0.020000000000000018,2,1,1,3
add,25,1.0,50,0.48,0.52,0.040000000000000036,3,1,2,4
add,25,2.0,50,0.5,0.56,0.06000000000000005,3,0,3,3
add,26,0.5,50,0.52,0.52,0.0,1,1,0,2
add,26,1.0,50,0.48,0.54,0.06000000000000005,3,0,3,3
add,26,2.0,50,0.52,0.5,-0.020000000000000018,1,2,-1,3
add,27,0.5,50,0.56,0.52,-0.040000000000000036,0,2,-2,2
add,27,1.0,50,0.48,0.52,0.040000000000000036,2,0,2,2
add,27,2.0,50,0.52,0.5,-0.020000000000000018,0,1,-1,1
random,25,0.5,50,0.48,0.52,0.040000000000000036,3,1,2,4
random,25,1.0,50,0.52,0.5,-0.020000000000000018,1,2,-1,3
random,25,2.0,50,0.54,0.5,-0.040000000000000036,0,2,-2,2
random,26,0.5,50,0.5,0.54,0.040000000000000036,3,1,2,4
random,26,1.0,50,0.5,0.52,0.020000000000000018,1,0,1,1
random,26,2.0,50,0.48,0.56,0.08000000000000007,4,0,4,4
random,27,0.5,50,0.52,0.48,-0.040000000000000036,0,2,-2,2
random,27,1.0,50,0.52,0.5,-0.020000000000000018,0,1,-1,1
random,27,2.0,50,0.52,0.52,0.0,1,1,0,2
