layer_idx,explained_var,mean_diff,fisher_ratio,cv_accuracy,cv_std
8,1.0,2.3636718,2.3651075,0.6100000000000001,0.07348469228349533
9,1.0,2.887392,2.888547,0.59,0.07999999999999999
10,1.0,3.0302212,3.0322812,0.62,0.06782329983125268
11,1.0,3.0680106,3.068114,0.64,0.10198039027185568
12,1.0,2.7868185,2.7898788,0.61,0.066332495807108
13,1.0,3.1075974,3.1087425,0.6499999999999999,0.07745966692414832
14,1.0,3.143173,3.14712,0.7,0.08366600265340755
15,1.0,3.1613283,3.1633677,0.71,0.020000000000000018
16,1.0,3.1254025,3.1288078,0.6900000000000001,0.07348469228349531
17,1.0,2.9400468,2.946776,0.68,0.10295630140987001
18,1.0,3.0367556,3.044023,0.71,0.09165151389911681
19,1.0,2.996234,2.9999032,0.65,0.07071067811865474
20,1.0,2.931662,2.9361937,0.6,0.04472135954999579
21,1.0,3.1334138,3.1330328,0.62,0.08717797887081347
22,1.0,3.0483937,3.0483727,0.62,0.08717797887081348
23,1.0,3.0268812,3.0256267,0.6199999999999999,0.10295630140986997
24,1.0,2.9586535,2.9582672,0.5800000000000001,0.09797958971132711
25,1.0,2.9337826,2.934513,0.61,0.066332495807108
26,1.0,2.7202556,2.7222638,0.63,0.16
27,1.0,2.709249,2.7152703,0.5900000000000001,0.16852299546352717
