mode,layer,param_value,param_type,locality,n,delta_mean,delta_median,mcnemar_p,mcnemar_net_gain,wilcoxon_p,sign_p,ttest_p
add,25,0.5,alpha,answer,100,0.05,0.0,0.1796875,5,0.1796875,0.1796875,0.09575262503018946
add,25,1.0,alpha,answer,100,0.13,0.0,0.0009765625,13,0.0007891129890156302,0.0009765625,0.0006003467586197645
add,25,2.0,alpha,answer,100,0.27,0.0,1.1175870895385742e-07,27,5.337263600339066e-07,1.1175870895385742e-07,9.264669207794613e-08
add,25,0.5,alpha,cot,100,0.12,0.0,0.004180908203125,12,0.002699796063260186,0.004180908203125,0.0023039657126900765
add,25,1.0,alpha,cot,100,0.1,0.0,0.00634765625,10,0.00634765625,0.00634765625,0.0034155079215788696
add,25,2.0,alpha,cot,100,0.27,0.0,1.4901161193847656e-08,27,2.0345546145444244e-07,1.4901161193847656e-08,2.5755954906033885e-08
lesion,25,0.5,gamma,answer,100,-0.12,0.0,0.00048828125,-12,0.00048828125,0.00048828125,0.0003873122498296649
lesion,25,1.0,gamma,answer,100,-0.19,0.0,3.814697265625e-06,-19,1.3071845366763019e-05,3.814697265625e-06,5.2109660236047975e-06
lesion,25,2.0,gamma,answer,100,-0.3,0.0,1.862645149230957e-09,-30,4.3204630578274876e-08,1.862645149230957e-09,3.071122735749712e-09
lesion,25,0.5,gamma,cot,100,-0.12,0.0,0.004180908203125,-12,0.002699796063260186,0.004180908203125,0.0023039657126900765
lesion,25,1.0,gamma,cot,100,-0.22,0.0,2.9802322387695312e-06,-22,7.097908330908284e-06,2.9802322387695312e-06,2.472835966586653e-06
lesion,25,2.0,gamma,cot,100,-0.31,0.0,9.313225746154785e-10,-31,2.5802843041604163e-08,9.313225746154785e-10,1.483447493450851e-09
