mode,layer,param_value,param_type,locality,is_mock,n,delta_mean,delta_median,mcnemar_p,mcnemar_net_gain,wilcoxon_p,sign_p,ttest_p
add,25,0.5,alpha,answer,False,25,0.04,0.0,1.0,1.0,1.0,1.0,0.3272868812797851
add,25,1.0,alpha,answer,False,25,0.2,0.0,0.0625,5.0,0.0625,0.0625,0.02198299704410234
add,25,2.0,alpha,answer,False,25,0.16,0.0,0.125,4.0,0.125,0.125,0.04289600309206789
add,26,0.5,alpha,answer,False,25,0.0,0.0,1.0,,1.0,1.0,
add,26,1.0,alpha,answer,False,25,-0.04,0.0,1.0,-1.0,1.0,1.0,0.32728688127978545
add,26,2.0,alpha,answer,False,25,0.0,0.0,1.0,0.0,1.0,1.0,1.0
add,27,0.5,alpha,answer,False,25,0.0,0.0,1.0,0.0,1.0,1.0,1.0
add,27,1.0,alpha,answer,False,25,0.0,0.0,1.0,0.0,1.0,1.0,1.0
add,27,2.0,alpha,answer,False,25,-0.04,0.0,1.0,-1.0,1.0,1.0,0.6639160780797151
add,25,0.5,alpha,cot,False,25,0.12,0.0,0.375,3.0,0.375,0.375,0.18504506368370852
add,25,1.0,alpha,cot,False,25,0.2,0.0,0.0625,5.0,0.0625,0.0625,0.02198299704410234
add,25,2.0,alpha,cot,False,25,0.28,0.0,0.0390625,7.0,0.0390625,0.0390625,0.01624832620822752
add,26,0.5,alpha,cot,False,25,0.0,0.0,1.0,,1.0,1.0,
add,26,1.0,alpha,cot,False,25,0.04,0.0,1.0,1.0,1.0,1.0,0.32728688127978545
add,26,2.0,alpha,cot,False,25,-0.08,0.0,0.625,-2.0,0.625,0.625,0.3272868812797851
add,27,0.5,alpha,cot,False,25,-0.08,0.0,0.625,-2.0,0.625,0.625,0.3272868812797851
add,27,1.0,alpha,cot,False,25,0.0,0.0,1.0,,1.0,1.0,
add,27,2.0,alpha,cot,False,25,0.04,0.0,1.0,1.0,1.0,1.0,0.3272868812797851
lesion,25,0.5,gamma,answer,False,25,-0.2,0.0,0.0625,-5.0,0.0625,0.0625,0.02198299704410234
lesion,25,1.0,gamma,answer,False,25,-0.2,0.0,0.0625,-5.0,0.0625,0.0625,0.02198299704410234
