mode,layer,param_value,param_type,locality,n,delta_mean,delta_median,mcnemar_p,mcnemar_net_gain,wilcoxon_p,sign_p,ttest_p
add,25,0.0,alpha,answer,0,,,,,,,
add,25,0.5,alpha,answer,100,0.0,0.0,1.0,,1.0,1.0,
add,25,1.0,alpha,answer,100,0.0,0.0,1.0,0.0,1.0,1.0,1.0
add,25,2.0,alpha,answer,100,-0.02,0.0,0.5,-2.0,0.5,0.5,0.15833990565972564
add,25,0.0,alpha,cot,0,,,,,,,
add,25,0.5,alpha,cot,100,-0.01,0.0,1.0,-1.0,1.0,1.0,0.5663155080996354
add,25,1.0,alpha,cot,100,0.01,0.0,1.0,1.0,1.0,1.0,0.5663155080996354
add,25,2.0,alpha,cot,100,0.0,0.0,1.0,0.0,1.0,1.0,1.0
lesion,25,0.5,gamma,answer,100,-0.01,0.0,1.0,-1.0,1.0,1.0,0.5663155080996354
lesion,25,1.0,gamma,answer,100,-0.01,0.0,1.0,-1.0,1.0,1.0,0.3197484741393017
lesion,25,2.0,gamma,answer,100,0.01,0.0,1.0,1.0,1.0,1.0,0.5663155080996354
lesion,25,0.5,gamma,cot,100,0.01,0.0,1.0,1.0,1.0,1.0,0.3197484741393017
lesion,25,1.0,gamma,cot,100,0.01,0.0,1.0,1.0,1.0,1.0,0.5663155080996354
lesion,25,2.0,gamma,cot,100,-0.01,0.0,1.0,-1.0,1.0,1.0,0.5663155080996354
rescue,25,0.5,beta,answer,100,-0.34,0.0,1.1641532182693481e-10,-34.0,5.511207251989957e-09,1.1641532182693481e-10,1.5729839197983475e-10
rescue,25,1.0,beta,answer,0,,,,,,,
rescue,25,2.0,beta,answer,0,,,,,,,
rescue,25,0.5,beta,cot,100,-0.32,0.0,4.656612873077393e-10,-32.0,1.5417257900279907e-08,4.656612873077393e-10,7.09468235657838e-10
rescue,25,1.0,beta,cot,0,,,,,,,
rescue,25,2.0,beta,cot,0,,,,,,,
