mode,layer,param_value,param_type,locality,n,delta_mean,delta_median,mcnemar_p,mcnemar_net_gain,wilcoxon_p,sign_p,ttest_p,significant
add,25,0.5,alpha,answer,100,-0.02,0.0,0.6875,-2,0.6875,0.6875,0.4169571495062342,
add,25,1.0,alpha,answer,100,-0.02,0.0,0.75390625,-2,0.75390625,0.75390625,0.5297892035498408,
add,25,2.0,alpha,answer,100,0.03,0.0,0.453125,3,0.453125,0.453125,0.2588935818684923,
add,25,0.5,alpha,cot,100,0.04,0.0,0.125,4,0.125,0.125,0.0449347252126304,
add,25,1.0,alpha,cot,100,-0.03,0.0,0.5078125,-3,0.5078125,0.5078125,0.3197484741393017,
add,25,2.0,alpha,cot,100,0.06,0.0,0.03125,6,0.03125,0.03125,0.013556758919315065,*
lesion,25,0.5,gamma,answer,100,-0.01,0.0,1.0,-1,1.0,1.0,0.7074703580131823,
lesion,25,1.0,gamma,answer,100,0.03,0.0,0.375,3,0.375,0.375,0.18102514023295713,
lesion,25,2.0,gamma,answer,100,-0.03,0.0,0.375,-3,0.375,0.375,0.18102514023295713,
lesion,25,0.5,gamma,cot,100,0.01,0.0,1.0,1,1.0,1.0,0.7074703580131823,
lesion,25,1.0,gamma,cot,100,0.02,0.0,0.7265625,2,0.7265625,0.7265625,0.48226247077230866,
lesion,25,2.0,gamma,cot,100,0.01,0.0,1.0,1,1.0,1.0,0.5663155080996356,
